328	246	111	282	149
293	83	174	184	213
238	172	134	305	217
301	240	232	262	178
265	285	202	268	175
294	283	307	249	208
283	278	173	198	202
328	218	136	281	145
250	300	176	202	217
334	231	106	254	151
333	355	143	298	184
312	241	221	291	150
338	302	186	356	207
270	160	223	203	138
263	126	245	182	121
317	339	123	320	160
301	159	210	181	252
333	212	150	287	115
277	289	55	71	164
321	122	130	375	212
325	211	132	322	178
318	157	36	217	164
264	358	231	189	178
284	150	145	322	183
355	201	99	231	162
311	166	32	223	90
324	170	70	435	157
299	149	128	243	197
223	273	230	307	143
281	176	207	97	144
272	232	273	291	161
272	228	138	332	112
294	203	182	215	187
271	318	305	305	108
239	439	157	226	116
318	301	195	272	234
260	275	219	220	94
240	159	163	209	151
270	286	71	178	129
353	285	123	331	136
251	298	197	269	157
267	340	177	295	143
322	107	132	267	245
294	233	167	165	187
286	281	231	207	162
251	234	109	222	165
183	191	166	191	190
346	97	70	264	133
281	60	90	219	204
286	216	85	255	85
330	204	121	296	149
336	308	186	284	115
228	271	149	162	115
284	217	166	151	137
287	215	167	342	140
263	116	136	217	214
242	271	145	273	107
216	208	255	205	217
256	284	198	188	125
267	160	127	149	186
274	218	131	183	170
226	124	101	169	149
260	209	162	283	211
280	216	176	251	158
417	198	195	337	165
252	212	119	300	174
377	138	163	199	184
226	223	235	233	194
300	108	79	353	161
316	170	242	370	180
266	199	119	159	173
237	161	150	278	204
299	176	209	413	175
275	237	229	287	235
304	122	73	136	218
314	306	245	198	169
297	118	140	250	237
307	209	245	276	190
313	95	53	206	127
297	167	197	252	235
248	279	219	130	188
344	229	184	347	195
258	177	156	252	225
359	236	210	281	203
293	235	54	291	201
276	334	198	171	212
271	232	177	178	106
365	306	148	280	197
321	234	225	349	137
233	319	208	213	190
305	205	167	292	199
237	194	265	196	108
312	187	101	330	138
194	399	253	69	111
297	240	138	257	156
302	83	267	179	230
250	210	184	302	120
297	166	202	205	198
299	208	155	360	183
317	153	31	232	185
281	238	177	267	198
374	182	148	346	172
256	273	171	276	176
289	81	121	348	184
278	126	220	228	229
277	157	117	203	186
250	200	169	254	237
301	154	142	223	203
275	331	123	340	117
263	144	215	204	184
212	257	241	299	80
296	129	97	276	244
298	126	136	260	192
225	225	165	261	145
338	209	114	255	144
278	261	261	109	192
238	291	266	416	131
291	331	207	296	177
315	59	133	319	213
296	163	105	263	163
359	226	143	297	183
354	323	101	246	135
276	181	168	315	161
312	222	233	252	201
299	199	93	196	214
250	275	70	145	178
253	232	183	81	126
251	333	201	146	132
254	159	104	241	228
234	233	207	252	171
278	281	232	232	219
230	252	227	209	166
284	290	215	201	174
307	333	159	257	243
349	335	80	248	184
396	216	112	317	233
259	277	203	266	214
281	274	222	323	169
256	154	133	227	168
314	95	219	295	217
222	277	233	259	168
